sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.
test.enc.prompt.txt::01240,Not if it,0.0,content_diversity,cannot be completed in a timely manner.,it takes too much time to complete.,takes too long to complete.,takes a while to complete.,it takes a long time to do it.
test.enc.prompt.txt::01241,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.
test.enc.prompt.txt::01242,How long you,1.0,content_diversity,have you been waiting,do turtles live,think will take him to get here,have been without home,think it will be before we get our meal
test.enc.prompt.txt::01242,How long you,0.0,content_diversity,have been here,waited for me,stayed here,arrived before me,waited here alone
test.enc.prompt.txt::01243,"Hey, it's okay.",1.0,content_diversity,we can go later,its just fine,hows your day going?,i am okay,lets talk about something else
test.enc.prompt.txt::01243,"Hey, it's okay.",0.0,content_diversity,its perfectly fine,oh its fine now,everything is okay,it is fine,i am all fine now
test.enc.prompt.txt::01244,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.
test.enc.prompt.txt::01244,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.
test.enc.prompt.txt::01245,During the road,1.0,content_diversity,"rage, people loose their minds",you should be focused only on road,you can't be phoning,you shouldn't sleep,"driving, you need to have a license"
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control
test.enc.prompt.txt::01246,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it
test.enc.prompt.txt::01247,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money
test.enc.prompt.txt::01248,I'd like you,1.0,content_diversity,to meet my parents,to send him my condolences,to improve your swimming technique,to start acting according to your age,to stop talking gibberish
test.enc.prompt.txt::01248,I'd like you,0.0,content_diversity,to introduce you to my parents,to come and meet my parents,to finally meet with my parents,to meet my mom and dad,to introduce you my mom and dad
test.enc.prompt.txt::01249,Nothing. She wanted,1.0,content_diversity,to know directions to the drive through is all.,money but I gave her nothing.,it all just to go away so that she was free again.,to know if I knew someone and I didn't.,to arrest me but couldnt pin anything on me.
test.enc.prompt.txt::01249,Nothing. She wanted,0.0,content_diversity,"to know how to get to the drive through,",a route to get to Macdonalds.,know directions on how to get to the drive through.,details on where the drive through is.,information on how to find a macdonalds.
test.enc.prompt.txt::01250,Are you for,1.0,content_diversity,a dance,a date in a restaurant,democrats or republicans,a coffee after desert,this new movie
test.enc.prompt.txt::01250,Are you for,0.0,content_diversity,a nice dinner in a restaurant,dinner in a fancy restaurant,a date somewhere nice,a date with me in a fancy dinner,a dinner in a classy restaurant
test.enc.prompt.txt::01251,It's a good,1.0,content_diversity,day to go shopping.,day to plan a wedding.,day to get some chores done.,time to invest in the stock market.,time to get some work done.
test.enc.prompt.txt::01251,It's a good,0.0,content_diversity,day outside. Let's go shopping.,time to get some shopping done.,time to go shopping.,day for shopping.,day for going shopping.
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.
test.enc.prompt.txt::01252,It seems your,0.0,content_diversity,sweet little kitten adores getting attention!,"cat is begging for attention, so have you been giving her any?",cat is very sociable and friendly around other people!,"kitty is extremely affectionate, what a sweetheart!",time spent with your cat isn’t enough because she is starved for attention.
test.enc.prompt.txt::01253,I wouldn't accept,1.0,content_diversity,anything but the truth,not loving you anymore,money from her,you leaving,mediocreness
test.enc.prompt.txt::01253,I wouldn't accept,0.0,content_diversity,i dont want you leave,cannot think of you going,the thought of you going sucks,wow i dont want you to go,please dont say you're laving me
test.enc.prompt.txt::01254,In a magazine,1.0,content_diversity,so many pages,theres lots of advertisements,i saw there was a model who was pretty,there was a car,that was boring
test.enc.prompt.txt::01254,In a magazine,0.0,content_diversity,a lot of pages were inside of it,there were many pages,a bunch of pages were inside,there were alot of paper pages,i think there was a lot of content on the pages
test.enc.prompt.txt::01255,I don't know...,1.0,content_diversity,why this happens,think so,know anyone who can,what time it is,where it went
test.enc.prompt.txt::01255,I don't know...,0.0,content_diversity,not sure why this keeps happening,why does this keep occurring,can this stop happening,i cant belive it keeps happening,why did it keep happening
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first
test.enc.prompt.txt::01256,Why do you,0.0,content_diversity,how come you constantly do the same thing,you always do this,cant just do that,always do these things,do that to yourself
test.enc.prompt.txt::01257,Don't you think,1.0,content_diversity,you should check?,you should hear him out?,you've done enough?,it's time to quit?,it's time to try again?
test.enc.prompt.txt::01257,Don't you think,0.0,content_diversity,it's time to go?,this is the end?,it's pointless to go on?,it's the end of the road?,it's time to move on?
test.enc.prompt.txt::01258,You know what,1.0,content_diversity,"I've had enough, I'm, out of here.",I really think I like the bigger one better than the smaller one.,you have some knid of nerve coming here today.,"I think you are really, really dumb.",this is used for? I bet you can't guess.
test.enc.prompt.txt::01258,You know what,0.0,content_diversity,I'd go for the big one over the small one.,I think the small one isn't as good as the bigger one.,I really think the bigger one is the best of the two.,I would choose the big one over the small one every time.,"I like the bigger one much better than the smaller one,"
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone
test.enc.prompt.txt::01259,Where the hell,0.0,content_diversity,you think we're gonna go,you think we're heading,you think we will go,you believe we're going,you think we're headed to
test.enc.prompt.txt::01260,May I ask,1.0,content_diversity,where did you get this number?,how did you find me,how did you get your driving license,how didn't you see him crossing the road,do you like eggs
test.enc.prompt.txt::01260,May I ask,0.0,content_diversity,how did you get my number,who gave you my phone number,how did you acquire this number,who told you my number,where did you find my phone number
test.enc.prompt.txt::01261,"Like you said,",1.0,content_diversity,you shouldn't drink and drive,you should end things up with him,you can't focus,you need to train harder,you believe in love on first sight
test.enc.prompt.txt::01261,"Like you said,",0.0,content_diversity,you should break u with him,you should leave him,you can't be in relationship with him,you need to get away from him,you can't stay together
test.enc.prompt.txt::01262,How many questions,1.0,content_diversity,can you possibly have?,are on the test?,are on the intake form?,does she have for me?,am I allowed to ask?
test.enc.prompt.txt::01262,How many questions,0.0,content_diversity,can I ask?,can I give to you?,can I request?,is reasonable to ask?,is it OK for me to have?
test.enc.prompt.txt::01263,I kinda get,1.0,content_diversity,what you mean,why you like him,what so great,the resemblense,hype about it
test.enc.prompt.txt::01263,I kinda get,0.0,content_diversity,i see why you,"now i see why , hes really cute","i get it now, why","kinda get why, hes cute",oh i mean i get why you do
test.enc.prompt.txt::01264,Maybe you're fed,1.0,content_diversity,up with your boss,so completely you'll not eat for hours,by a great chef,loan will be here soon,holiday will be paid this year
test.enc.prompt.txt::01264,Maybe you're fed,0.0,content_diversity,payment will be processed quickly,money will show in your bank account by the end of the day,cash will arrive soon,credit will not give you reason for patience,advance will get to you within the hour
test.enc.prompt.txt::01265,"Eve, I don't",1.0,content_diversity,think you have the skills for the job.,think you want to make any hasty decisions.,want you to leave.,think you should stay with your husband.,think you should keep using drugs.
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow."
test.enc.prompt.txt::01266,Get out of,0.0,content_diversity,my home.,my bedroom.,my abode.,my kitchen.,"my home, please."
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.
