sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4
test.sa-sb.sa-b::00879,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,1.0,content_diversity,Rover became a part of the family.,Rover showed his affection by cuddling with them.,Sandra felt relieved that Rover was accepted so easily.,Rover wagged his tail all night.,The dog was more than happy to play all night.
test.sa-sb.sa-b::00879,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,0.0,content_diversity,Rover was now family.,Rover fit in with Sandra's family.,Rover was a missing piece of Sandra's family.,Sandra and her family welcomed Rover into the fold.,Adopting Rover made Sandra and her family very pleased.
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",0.0,content_diversity,he recovers quickly,his recovery was on time,he was fully recovered by then,he was recuperated on time,his ankles heals on time
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,1.0,content_diversity,he was glad to speak to someone in english,he get to his room and rest,they decide tour the city together,they talk,they became friends
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",1.0,content_diversity,The minivan was rolling down the hill,The minivan crashed into a new car,He had to run and try to catch it,Minivan caused a lot of damage,Minivan almost hurt a child on a bike
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,0.0,content_diversity,The primer helped keep the paint in tact.,The primer was a great idea.,The paint did not peel this time.,The paint was long lasting after the primer was used.,Primer kept the paint on.
