sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,0.0,content_diversity,"Tim became so anxious with the crowd watching him, he failed to get a perfect score.",Tim did not manage to get a perfect score.,Tim lost the game due to the pressure of having an audience.,Tim choked and lost.,Tim cracked under pressure.
test.sa-sb.sa-b::00860,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",0.0,content_diversity,it was fun for them,they enjoy the day,they like the cleaning up,they thought it was great,they have a bonding experience
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,1.0,content_diversity,he quits smoking,he then ask her out,he was still rejected,the girl was long gone,he still could not quit
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,0.0,content_diversity,he no longer smokes,smoking is not with him anymore,he never touch cigarette again,he is not smoking anymore,smoking and him are two separate things now
test.sa-sb.sa-b::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",0.0,content_diversity,I had some sleepless night,there are nights I could not sleep,some nights I was awake,I miss sleeps sometimes,there are night I stay wide awake
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,1.0,content_diversity,She had a whole new set of clothes,Her friends were mocking her,She had help from her grandma,She really enjoyed doing it,She saved a lot of money
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,0.0,content_diversity,She saved quite a lot,She saved money,She managed to save a large amount of money,She saved large sum of money,She managed to put money in savings
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,1.0,content_diversity,They didn't invite him back.,Now they won't return his texts.,Andy apologized and they made up.,Andy decided not to cheat in the future.,Andy watched YouTube videos and got better so he didn't have to cheat.
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,0.0,content_diversity,Andy felt bad afterward and swore he'd never cheat again.,Winning by cheating didn't feel very good so he didn't do it again.,"Andy didn't like feeling like a cheat, so he was honest the next time.",Knowing he cheated was embarrassing so he won't cheat when they play in the future.,Andy pledged not to cheat the next poker night.
test.sa-sb.sa-b::00873,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,1.0,content_diversity,it was so healthy,he was still hungy,he decide to eat some burger,he went to exercise,he is in top shape
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",1.0,content_diversity,she makes it anyway,the muffin was still delicious,it was not her best moment,she asked me to make it for her,she decides it was time to deal with the yellow batter
