sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,4.056,0.437,-0.057,0.923,-0.346,2.021,0.404,4.684,0.937,-0.404,23.949,0.570
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,2.222,0.711,-0.057,0.904,-0.375,2.438,0.488,4.171,0.834,-0.777,21.639,0.698
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad,4.333,0.527,-0.023,0.969,-0.191,2.233,0.447,4.801,0.960,-0.379,16.621,0.616
test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,1.0,content_diversity,he was then killed,he was then put into prison,the war ended,it was gruesome,that was part of war,3.667,0.471,-0.059,0.900,-0.273,2.049,0.410,4.258,0.852,-0.218,11.602,0.552
test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",0.0,content_diversity,we also cook,we decided to use the kitchen,we prepare some meals,we use our cooking skills,we make some dishes,2.062,0.464,-0.056,0.945,-0.376,1.734,0.347,4.940,0.988,-0.672,12.232,0.556
test.sa-sb.sa-b::00825,It any business you have to keep track of your resources. I was helping a friend inventory his business. He could name every part number in his inventory from memory. I asked him to give me a list of his employees.,1.0,content_diversity,He had a hard time recollecting.,He new every name and their birthdays.,He could not name them without looking at his files.,He named them all off the top of his head.,He could not remember the names of his employees.,3.167,0.527,-0.053,0.920,-0.315,2.526,0.505,4.767,0.953,-0.246,28.704,0.611
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,1.0,content_diversity,He called all his friends to tell them.,He was so happy he cried.,He realized he didn't really like acting very much so he quit.,His family was so proud they threw him a party.,His friend was jealous and they drifted apart.,4.562,0.464,-0.033,0.949,-0.280,2.175,0.435,4.998,1.000,-0.263,31.487,0.617
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,0.0,content_diversity,He went home and told everyone he knew.,He was so excited that he called a ton of people to tell them.,He had to let everyone know asap.,Ben was super excited to share the news.,Ben had a great evening letting everyone know.,1.778,0.416,-0.040,0.937,-0.385,1.997,0.399,4.468,0.894,-0.571,32.019,0.640
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,We looked forward to the rest of the series.,This series would be discontinued.,The book was a fun way for us to connect.,I performed the characters using different voices to entertain her.,This would become her favorite book.,4.278,0.583,-0.025,0.955,-0.301,2.917,0.583,4.996,0.999,-0.233,26.520,0.589
test.sa-sb.sa-b::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,1.0,content_diversity,she said thank you,we continue practicing,she decided we should get ice cream,we had lots of fun,she teach me some foreign language too,4.111,0.657,-0.023,0.969,-0.172,1.850,0.370,4.985,0.997,-0.164,15.206,0.585
test.sa-sb.sa-b::00861,"My dad bought some nonalcoholic beer. Since it didn't have alcohol, I asked him if I could try it. He told me I wouldn't like it. I tried it, and made a terrible face.",0.0,content_diversity,I asked dad why he bought nonalcoholic beer.,"It tasted so bad, I asked my dad why he purchased it.",Why did dad buy this?,I wanted to know why dad bought nonalcoholic.,Why would he buy this kind of beer?,1.833,0.471,-0.061,0.903,-0.400,2.151,0.430,4.976,0.995,-0.557,28.172,0.599
test.sa-sb.sa-b::00871,"My wife and went to the movies in 1981. We saw the first movie. My wife did not like the second, Harold and Maude, and we left. Yesterday I saw the movie on DVR while my wife was at work.",1.0,content_diversity,I like it,I did not like it either,it was funny,it was not funny,it was not the same on tv,3.500,0.802,-0.123,0.845,-0.396,1.782,0.356,4.996,0.999,-0.371,14.072,0.612
test.sa-sb.sa::00681,Sean's car started overheating. He remembered a trick to cool it down. He turned on his heater to max. It helped keep the car going until he got to a mechanic.,0.0,content_diversity,Sean decided to replace his old car with a new one,He purchased another car,"After that incident, he decided it's time to get a new car","To avoid problems in future, he decided to buy a new car",He replaced his old vehicle with a new one,2.062,0.916,-0.094,0.857,-0.505,2.961,0.592,4.923,0.985,-0.592,32.752,0.630
test.sa-sb.sa::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,Car has hit a tree and she bumped into the seat in front of her,Driver lost control of the vehicle and bumped in the tree,She felt braking and could see car crashed in the tree,"Suddenly, she felt strong force and she was on the floor",She felt someone pulling the handbrake as they were crashing in the tree,2.000,0.408,-0.089,0.899,-0.326,2.361,0.472,4.560,0.912,-0.521,47.865,0.772
test.sa-sb.sa::00689,Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow.,1.0,content_diversity,He told me to stop changing the subject.,I bought a new computer instead of fixing the slow one.,I walked out of the room before I said something I regretted.,He smashed the computer when I complained about it.,I decided to ignore him and tried to work as best as I could on the slow computer.,4.188,0.658,-0.052,0.934,-0.292,2.154,0.431,4.992,0.998,-0.311,44.134,0.701
test.sa-sb.sa::00691,Jane noticed her internet was slow. The cable company was no help. Eventually someone recommended getting a better router. Jane tried it out.,1.0,content_diversity,she was happy with her new interernet,she like its,she did not like it,she was glad she did,she is happy she got a new router,3.222,0.711,-0.087,0.904,-0.264,1.865,0.373,4.771,0.954,-0.468,19.132,0.683
test.sa-sb.sa::00698,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,1.0,content_diversity,Joel fired the cook when things went too far downhill.,One day Joel called a meeting and set up new rules for the cook and other staff to follow.,This went on for a couple months before Joel had enough.,Joel did not care much about the restaurant either and he went out of business.,When making future hiring decisions Joel held up the cook as an example of what he doesn't want.,4.556,0.497,-0.044,0.945,-0.243,3.013,0.603,4.966,0.993,-0.370,48.366,0.605
test.sa-sb.sa::00698,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,0.0,content_diversity,One day the cook showed up at the restaurant and was very angry.,The cook pleaded for another chance.,It was time to start over and pick up the pieces.,Joel discovered that the cook had been battling a severe illness and it had affected his work.,From that day forward Joel's restaurant was the best in town.,4.278,0.533,-0.035,0.945,-0.266,2.825,0.565,4.992,0.998,-0.270,38.144,0.587
test.sa-sb.sa::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",1.0,content_diversity,They were lucky that the tornado did not make it to their farm.,This was a bad decision because Janet's mother did not make it.,Everything worked out because the tornado died out before it could reach the farm.,They were able to protect the animals but their garden was destroyed by the tornado.,The family is not afraid of tornadoes anymore.,4.111,0.458,-0.054,0.902,-0.322,2.912,0.582,4.193,0.839,-0.402,41.752,0.605
test.sa-sb.sa::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,Devin goes 100 mph and gets pulled over by the police.,Devin hits a telephone pole and totals his parents car.,Devin forgets his license and gets arrested.,Devin's little brother was with him and snitched to their parents.,Devin gets lost and has to call his parents.,4.667,0.333,-0.061,0.932,-0.393,2.184,0.437,4.993,0.999,-0.447,31.240,0.568
test.sa-sb.sa::00703,Jake was changing clothes in his room. He didn't realize his overhead fan was on. When he reached up to take off his shirt his arm hit the fan blades. Jake wound up fracturing his wrist.,1.0,content_diversity,"His mom ran upstairs when she heard the commotion, and immediately drove him to the emergency room.","He had to wear a cast and was unable to play his favorite sport, baseball, for an entire month.",He thought it was cool so he showed it to the neighborhood kids.,He was in agonizing pain so he raced to the phone to call an ambulance.,He then woke up and realized it was all a dream.,4.167,0.707,-0.055,0.930,-0.274,2.670,0.534,4.999,1.000,-0.200,52.243,0.629
